Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,CountryID,Country Name,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
91,lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,93,Lebanon,Middle East and North Africa,154.0,12.0,51.1,39.5,26.6,18.2,91.8,75.6,0.0,47.9,46.5,78.1,79.0,60.0,50.0,3.0,20.0,15.0,13.8,28.5,4.5,$87.7 ,1.2,1.5,"$19,439",6.6,4.5,"2,628.0",152.8
92,indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,75,Indonesia,Asia-Pacific,56.0,11.0,65.8,52.2,53.5,39.5,83.7,91.4,88.1,69.3,49.3,77.4,79.8,45.0,60.0,2.6,30.0,25.0,10.4,16.9,262.0,"$3,242.8 ",5.1,5.1,"$12,377",4.2,3.8,"23,063.1",28.9
93,china,5.191,1.029,1.125,0.893,0.521,0.058,0.1,34,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.0",47.8
94,vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,180,Vietnam,Asia-Pacific,128.0,30.0,55.3,49.8,40.3,34.0,79.7,74.1,40.7,63.5,62.8,68.9,79.2,30.0,40.0,2.9,35.0,22.0,18.0,29.4,93.6,$647.4 ,6.8,6.2,"$6,913",2.1,3.5,"14,100.0",58.2
95,bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,18,Bhutan,Asia-Pacific,74.0,16.0,62.9,62.5,55.4,54.5,83.0,71.6,77.6,68.7,79.5,72.6,79.4,20.0,30.0,2.8,25.0,30.0,13.4,30.7,0.8,$7.0 ,6.0,5.2,"$8,744",2.4,3.4,10.3,102.4
96,cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,28,Cameroon,Sub-Saharan Africa,145.0,29.0,52.4,42.5,31.3,25.5,74.4,87.5,58.4,44.4,47.8,84.0,53.4,30.0,50.0,15.8,35.0,33.0,15.6,20.4,24.3,$88.9 ,3.2,4.9,"$3,660",4.2,0.6,672.5,33.8
97,bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,23,Bulgaria,Europe,37.0,19.0,69.0,62.5,41.9,35.1,90.2,63.9,98.8,62.7,68.4,88.0,86.0,70.0,60.0,2.0,10.0,10.0,28.0,34.7,7.1,$153.1 ,3.6,2.7,"$21,687",6.2,1.2,"1,070.7",23.9
98,ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,63,Ghana,Sub-Saharan Africa,109.0,13.0,57.5,49.1,44.2,35.5,78.8,82.0,23.9,56.5,59.9,66.3,63.4,70.0,60.0,10.8,35.0,25.0,16.5,24.5,28.3,$133.7 ,8.4,5.5,"$4,729",2.4,12.4,"3,255.0",71.8
100,nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,118,Nepal,Asia-Pacific,136.0,34.0,53.8,39.2,34.7,26.2,84.0,83.7,98.5,61.8,47.9,69.4,60.4,10.0,30.0,12.3,25.0,25.0,18.7,23.3,29.3,$78.6 ,7.5,4.3,"$2,679",2.7,4.5,198.0,27.2
101,jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,83,Jordan,Middle East and North Africa,53.0,4.0,66.5,58.4,52.6,50.3,91.4,73.4,60.6,61.8,52.7,85.0,81.4,70.0,60.0,4.3,14.0,20.0,16.3,29.8,7.1,$89.1 ,2.3,2.5,"$12,494",14.9,3.3,"1,664.8",95.6
102,benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,17,Benin,Sub-Saharan Africa,127.0,21.0,55.3,37.2,32.8,28.1,69.3,83.4,27.9,62.4,53.8,86.4,61.8,70.0,50.0,11.6,45.0,30.0,11.9,23.5,11.1,$25.3 ,5.6,5.0,"$2,277",2.5,0.1,184.4,54.6
104,gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,59,Gabon,Sub-Saharan Africa,118.0,17.0,56.3,28.1,30.6,35.5,75.8,86.6,82.1,52.1,53.0,80.0,51.2,60.0,40.0,16.9,35.0,30.0,17.3,21.1,1.9,$36.7 ,0.8,3.4,"$19,254",19.7,3.0,"1,498.0",61.1
106,south africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,151,South Africa,Sub-Saharan Africa,102.0,11.0,58.3,58.8,39.3,39.7,62.1,67.6,62.6,64.3,59.1,75.2,76.0,45.0,50.0,4.5,45.0,28.0,31.3,32.8,56.5,$765.6 ,1.3,1.5,"$13,545",27.3,5.3,"1,324.7",52.7
107,albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,2,Albania,Europe,52.0,27.0,66.5,54.8,30.6,40.4,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70.0,70.0,1.1,23.0,15.0,24.9,29.5,2.9,$36.0 ,3.9,2.5,"$12,507",13.9,2.0,"1,119.1",71.2
108,venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,179,Venezuela,Americas,179.0,32.0,25.9,7.6,13.1,7.9,74.7,58.1,17.6,33.9,28.0,0.0,60.0,0.0,10.0,10.0,34.0,34.0,14.9,37.4,31.4,$380.7 ,-14.0,-7.8,"$12,114",7.7,1087.5,-68.0,34.9
109,cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,27,Cambodia,Asia-Pacific,105.0,22.0,57.8,37.4,27.6,16.7,89.7,85.9,89.1,29.9,63.0,79.4,65.4,60.0,50.0,9.8,20.0,20.0,15.0,21.7,16.0,$64.3 ,6.9,7.1,"$4,012",0.2,2.9,"2,784.4",35.1
